date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:34	9808/9808	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-fileupload.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-fileuploadac31.js	(from https://swiftbusinesspay.com/)
21:09:35	39643/39643	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/pickadate/picker.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/pickadate/pickerac31.js	(from https://swiftbusinesspay.com/)
21:09:36	49595/49595	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/pickadate/picker.date.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/pickadate/picker.dateac31.js	(from https://swiftbusinesspay.com/)
21:09:37	32991/32991	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/pickadate/picker.time.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/pickadate/picker.timeac31.js	(from https://swiftbusinesspay.com/)
21:09:38	6406/6406	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Aug%202021%2006:43:13%20GMT	https://swiftbusinesspay.com/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.7	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/dist/vendor/regenerator-runtime.minb36a.js	(from https://swiftbusinesspay.com/)
21:09:39	16470/16470	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Aug%202021%2006:43:13%20GMT	https://swiftbusinesspay.com/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://swiftbusinesspay.com/)
21:09:41	5440/5440	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Aug%202021%2006:43:13%20GMT	https://swiftbusinesspay.com/wp-includes/js/dist/hooks.min.js?ver=a7edae857aab69d69fa10d5aef23a5de	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/dist/hooks.mine16b.js	(from https://swiftbusinesspay.com/)
21:09:41	9866/9866	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2002%20Aug%202021%2006:43:13%20GMT	https://swiftbusinesspay.com/wp-includes/js/dist/i18n.min.js?ver=5f1269854226b4dd90450db411a12b79	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/dist/i18n.min71a7.js	(from https://swiftbusinesspay.com/)
21:09:42	9186/9186	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-raty.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-raty.minac31.js	(from https://swiftbusinesspay.com/)
21:09:43	4405/4405	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2029%20Aug%202021%2017:49:26%20GMT	https://swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-tipsy.min.js?ver=2.2.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-content/plugins/ultimate-member/assets/js/um-tipsy.minac31.js	(from https://swiftbusinesspay.com/)
21:09:44	5629/5629	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2029%20Oct%202020%2012:44:14%20GMT	https://swiftbusinesspay.com/wp-includes/js/imagesloaded.min.js?ver=4.1.4	/Users/gladiusfinance/websites/swift/swiftbusinesspay.com/wp-includes/js/imagesloaded.mineda1.js	(from https://swiftbusinesspay.com/)
